Code;Type;Bedrooms;Zone;Price;/z
100;Apartment;2;80.0;150000.0;/z
101;House;3;120.0;250000.0;/z
102;Townhouse;4;104.0;200000.0;/z
103;Condo;1;60.0;120000.0;/z
104;Duplex;3;150.0;300000.0;/z
105;Bungalow;2;90.0;180000.0;/z
106;Villa;4;200.0;400000.0;/z
107;Cottage;2;85.0;170000.0;/z
108;Penthouse;3;180.0;350000.0;/z
109;Farmhouse;5;300.0;500000.0;/z
110;Apartment;2;75.0;140000.0;/z
111;House;4;130.0;270000.0;/z
112;Townhouse;3;95.0;190000.0;/z
113;Condo;1;65.0;125000.0;/z
114;Duplex;2;140.0;280000.0;/z
115;Bungalow;3;100.0;200000.0;/z
116;Villa;4;220.0;420000.0;/z
117;Cottage;2;90.0;175000.0;/z
118;Penthouse;3;185.0;360000.0;/z
119;Farmhouse;4;320.0;550000.0;/z
120;Apartment;1;70.0;130000.0;/z
121;House;5;150.0;300000.0;/z
122;Townhouse;4;110.0;220000.0;/z
123;Condo;1;70.0;130000.0;/z
124;Duplex;3;160.0;320000.0;/z
125;Bungalow;2;95.0;190000.0;/z
126;Villa;5;240.0;450000.0;/z
127;Cottage;2;95.0;180000.0;/z
128;Penthouse;3;190.0;370000.0;/z
129;Farmhouse;6;350.0;600000.0;/z
130;Apartment;2;85.0;160000.0;/z
131;House;3;125.0;260000.0;/z
132;Townhouse;4;105.0;210000.0;/z
133;Condo;1;75.0;135000.0;/z
134;Duplex;3;170.0;340000.0;/z
135;Bungalow;2;100.0;200000.0;/z
136;Villa;4;230.0;430000.0;/z
137;Cottage;2;100.0;185000.0;/z
138;Penthouse;3;195.0;380000.0;/z
139;Farmhouse;5;330.0;560000.0;/z
140;Apartment;1;75.0;135000.0;/z
141;House;4;135.0;280000.0;/z
142;Townhouse;3;100.0;200000.0;/z
143;Condo;1;80.0;140000.0;/z
144;Duplex;2;150.0;300000.0;/z
145;Bungalow;3;105.0;210000.0;/z
146;Villa;5;250.0;470000.0;/z
147;Cottage;2;105.0;195000.0;/z
148;Penthouse;3;200.0;390000.0;/z
149;Farmhouse;6;360.0;620000.0;/z
150;Apartment;2;90.0;170000.0;/z
151;House;3;130.0;270000.0;/z
152;Townhouse;4;110.0;220000.0;/z
153;Condo;1;85.0;145000.0;/z
154;Duplex;3;180.0;360000.0;/z
155;Bungalow;2;110.0;220000.0;/z
156;Villa;4;260.0;490000.0;/z
157;Cottage;2;110.0;200000.0;/z
158;Penthouse;3;205.0;400000.0;/z
159;Farmhouse;5;350.0;580000.0;/z
160;Apartment;1;80.0;140000.0;/z
161;House;4;140.0;290000.0;/z
162;Townhouse;3;105.0;210000.0;/z
163;Condo;1;90.0;150000.0;/z
164;Duplex;2;160.0;320000.0;/z
165;Bungalow;3;110.0;220000.0;/z
166;Villa;5;270.0;510000.0;/z
167;Cottage;2;115.0;205000.0;/z
168;Penthouse;3;210.0;410000.0;/z
169;Farmhouse;6;370.0;640000.0;/z
170;Apartment;2;95.0;180000.0;/z
171;House;3;135.0;280000.0;/z
172;Townhouse;4;115.0;230000.0;/z
173;Condo;1;95.0;155000.0;/z
174;Duplex;3;190.0;380000.0;/z
175;Bungalow;2;115.0;230000.0;/z
176;Villa;4;270.0;510000.0;/z
177;Cottage;2;120.0;210000.0;/z
178;Penthouse;3;215.0;420000.0;/z
179;Farmhouse;5;370.0;600000.0;/z
180;Apartment;1;85.0;145000.0;/z
181;House;4;145.0;300000.0;/z
